Mon;tart dewasa;bf 75 triple choco;bf 85 blueberry;tart anak;;;;;;;;;;
Tue;bf 75 triple choco;tart anak;tart anak;bf 75 strawberry;bf 75 strawberry;;;;;;;;;
Wed;bf 75 strawberry;tart boboiboy;bf 50 coklat;bf 50 putih;bf 50 biru;;;;;;;;;
Thu;bf putri;bf 50 doraemon;bf 50 coklat;bf 75 triple choco;;;;;;;;;;
Fri;bf 50 coklat;bf 75 mocacino;;;;;;;;;;;;
Sat;bf 50 pink;bf 50 ungu;bf 75 strawberry;bf 50 coklat;tart anak;bolu ban;bolu ban;bolu ban;bolu ban;bolu ban;bolu ban;bolu ban;bolu ban;bolu ban
Sun;bf 75 mocacino;bf 75 triple choco;;;;;;;;;;;;
Mon;bf 75 mocacino;bf 75 mocacino;bf 75 strawberry;bf 85 blueberry;bf 75 mocacino;bf roseleaf;;;;;;;;
Tue;bf 50 pink;bf 75 triple choco;bf 75 mocacino;bf 75 mocacino;bf 50 coklat;tart anak ;bf 75 mocacino;bf 50 coklat;bf 75 mocacino;;;;;
Wed;bf 75 strawberry;bf 50 coklat;bf 50;bf 50;;;;;;;;;;
Thu;tart anak;roti*35;bf 75 strawberry;cokbul*35;;;;;;;;;;
Fri;bf 75 strawberry;bf 85 blueberry;bf 85 love;bf 75 mocacino;;;;;;;;;;
Sat;bf 75 mocacino;bf 85 rose leaf;bf 50 coklat;;;;;;;;;;;
Sun;bf 75 strawberry;bf 50 biru;bf 75;bf 75 strawberry;bf 75 strawberry;bf 75 strawberry;bf 85 blueberry;;;;;;;
Mon;bf 50 biru;bf 85 love;;;;;;;;;;;;
Tue;bf 50 biru;bf 50 coklat;bf 75 strawberry;bf 75 strawberry;bf 75 mocacino;bf 85 rose leaf;bf 50 coklat;;;;;;;
Wed;bf 50 biru;bf 85 blueberry;bf 85;bf 50 pink;bf 50 coklat;bf 75 strawberry;bf 75 mocacino;;;;;;;
Thu;bf 50 coklat;tart anak;bf 75 triple choco;bf 50 pink;bf 50 coklat;;;;;;;;;
Fri;bf 75 mocacino;bf 50 biru;;;;;;;;;;;;
Sat;bf 75 strawberry;bf 50 coklat;bf 50 coklat;bf 50 biru;bf 85 blueberry;bf 50 coklat;bf 75 mocacino;bf 50 pink;;;;;;
Sun;mini tart;bf 50 coklat;bf 50 biru;bf 50 putih;bf 75 mocacino;;;;;;;;;
Mon;bf 50 coklat;bf 50 biru;bf 75 strawberry;bf 50 pink;roti;;;;;;;;;
Tue;bf 75 strawberry;;;;;;;;;;;;;
Wed;bf 50 pink;bf 85 blueberry;bf 50 coklat;;;;;;;;;;;
Thu;;;;;;;;;;;;;;
Fri;bf 75 strawberry;bf 50 biru;bf 75 strawberry;;;;;;;;;;;
Sat;bf 50 coklat;bf 75 triple choco;bf 50 pink;bf 85 love;;;;;;;;;;
Sun;bf 50 coklat;bf 85 rose leaf;bf 75 strawberry;bf 75 mocacino;;;;;;;;;;
Mon;bf 75 strawberry;bf 50 biru;tart dewasa;;;;;;;;;;;
Tue;;;;;;;;;;;;;;
Wed;bf 50 coklat;bf 75 mocacino;bf 75 mocacino;bf 50 biru;;;;;;;;;;
Thu;bf 85 rose leaf;bf 50 pink;bf 75 strawberry;bf 85 blueberry;bf 50 coklat;bf 50 coklat;bf 75 triple choco ;;;;;;;
