Kabupaten/Kota,Persentase Penduduk Miskin
,
Kepulauan Seribu,12.98
Kota Jakarta Selatan,3.14
Kota Jakarta Timur,3.31
Kota Jakarta Pusat,3.78
Kota Jakarta Barat,3.45
Kota Jakarta Utara,5.59
Bogor,8.57
Sukabumi,8.04
Cianjur,11.41
Bandung,7.36
Garut,11.27
Tasikmalaya,10.84
Ciamis,8.2
Kuningan,13.27
Cirebon,12.97
Majalengka,12.6
Sumedang,10.53
Indramayu,13.67
Subang,10.77
Purwakarta,9.06
Karawang,10.25
Bekasi,4.73
Bandung Barat,11.49
Pangandaran,10
Kota Bogor,7.11
Kota Sukabumi,8.48
Kota Bandung,4.17
Kota Cirebon,9.66
Kota Bekasi,4.79
Kota Depok,2.34
Kota Cimahi,5.76
Kota Tasikmalaya,14.8
Kota Banjar,7.06
Cilacap,13.94
Banyumas,17.05
Purbalingga,18.8
Banjarnegara,17.21
Kebumen,19.6
Purworejo,13.81
Wonosobo,20.32
Magelang,12.42
Boyolali,11.96
Klaten,14.15
Sukoharjo,8.75
Wonogiri,12.9
Karanganyar,12.28
Sragen,14.02
Grobogan,13.27
Blora,13.04
Rembang,18.35
Pati,11.38
Kudus,7.59
Jepara,8.12
Demak,13.41
Semarang,7.78
Temanggung,11.46
Kendal,11.1
Batang,10.8
Pekalongan,12.61
Pemalang,17.37
Tegal,9.9
Brebes,19.14
Kota Magelang,8.75
Kota Surakarta,10.65
Kota Salatiga,5.07
Kota Semarang,4.62
Kota Pekalongan,7.47
Kota Tegal,8.11
Kulon Progo,20.03
Bantul,14.07
Gunung Kidul,18.65
Sleman,8.13
Kota Yogyakarta,7.64
Pacitan,15.42
Ponorogo,11.39
Trenggalek,12.96
Tulungagung,8.04
Blitar,9.8
Kediri,12.25
Malang,11.04
Lumajang,10.87
Jember,11
Banyuwangi,8.64
Bondowoso,14.54
Situbondo,13.05
Probolinggo,20.52
Pasuruan,10.34
Sidoarjo,6.23
Mojokerto,10.19
Jombang,10.48
Nganjuk,11.98
Madiun,12.28
Magetan,10.48
Ngawi,14.91
Bojonegoro,14.34
Tuban,16.87
Lamongan,14.42
Gresik,12.8
Bangkalan,21.32
Sampang,23.56
Pamekasan,16
Sumenep,19.62
Kota Kediri,8.49
Kota Blitar,8.03
Kota Malang,4.17
Kota Probolinggo,7.84
Kota Pasuruan,7.53
Kota Mojokerto,5.73
Kota Madiun,4.94
Kota Surabaya,5.39
Kota Batu,4.31
Pandeglang,9.74
Lebak,8.64
Tangerang,5.39
Serang,4.63
Kota Tangerang,4.95
Kota Cilegon,3.52
Kota Serang,5.57
Kota Tangerang Selatan,1.76
